date,source_type,product_area,sentiment_score,summary,pain_point,verbatim_quote
2026-03-02 04:42:37,Zendesk Ticket,Billing & Invoicing,-0.47,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-02 05:15:36,Zendesk Ticket,Billing & Invoicing,-0.25,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-02 08:23:15,Gong Call,Billing & Invoicing,0.13,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-02 09:14:17,Zendesk Ticket,Billing & Invoicing,-0.3,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-02 10:24:22,Zendesk Ticket,Analytics Dashboard,0.3,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-02 12:10:46,Gong Call,Core UI & Navigation,0.16,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-02 14:22:12,Gong Call,Analytics Dashboard,0.41,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-02 16:47:56,Zendesk Ticket,Billing & Invoicing,-0.4,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-02 18:27:52,Intercom Chat,Core UI & Navigation,0.51,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-02 20:22:30,Intercom Chat,Core UI & Navigation,-0.26,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-03 00:33:07,Gong Call,Core UI & Navigation,0.29,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-03 02:52:05,Zendesk Ticket,Core UI & Navigation,0.53,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-03 09:28:42,Gong Call,Core UI & Navigation,-0.28,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-03 23:10:11,Gong Call,Integrations & APIs,-0.01,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-04 01:44:32,Zendesk Ticket,Analytics Dashboard,-0.06,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-04 12:10:09,Gong Call,Integrations & APIs,0.44,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-04 12:23:12,Zendesk Ticket,Billing & Invoicing,0.14,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-04 13:49:33,Zendesk Ticket,Integrations & APIs,0.62,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-04 23:49:38,Intercom Chat,Billing & Invoicing,-0.74,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-05 06:50:37,Gong Call,Core UI & Navigation,0.25,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-05 18:11:50,Zendesk Ticket,Analytics Dashboard,-0.19,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-06 05:03:54,Zendesk Ticket,Billing & Invoicing,-0.73,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-06 05:33:16,Zendesk Ticket,Integrations & APIs,0.42,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-06 05:56:36,Intercom Chat,Integrations & APIs,-0.48,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-06 10:28:48,Gong Call,Analytics Dashboard,0.02,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-06 17:39:00,Gong Call,Analytics Dashboard,0.42,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-06 21:30:17,Zendesk Ticket,Analytics Dashboard,-0.14,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-07 02:06:17,Gong Call,Authentication & Login,-0.23,General feedback regarding Authentication & Login.,UX is slightly confusing.,It took me a while to figure out how the Authentication & Login works.
2026-03-07 02:24:18,Intercom Chat,Billing & Invoicing,0.03,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-07 10:13:16,Gong Call,Analytics Dashboard,0.33,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-08 11:57:10,Intercom Chat,Analytics Dashboard,0.23,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-08 13:51:39,Zendesk Ticket,Integrations & APIs,0.3,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-08 16:07:27,Zendesk Ticket,Billing & Invoicing,-0.59,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-08 18:54:01,Intercom Chat,Billing & Invoicing,-0.42,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-09 00:44:57,Zendesk Ticket,Billing & Invoicing,0.08,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-09 02:30:39,Intercom Chat,Billing & Invoicing,-0.18,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-09 08:35:06,Gong Call,Billing & Invoicing,-0.67,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-09 13:32:30,Gong Call,Analytics Dashboard,0.45,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-09 14:35:18,Zendesk Ticket,Authentication & Login,0.27,General feedback regarding Authentication & Login.,UX is slightly confusing.,It took me a while to figure out how the Authentication & Login works.
2026-03-09 14:55:31,Zendesk Ticket,Analytics Dashboard,0.56,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-09 17:15:18,Zendesk Ticket,Analytics Dashboard,0.65,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-10 00:18:51,Zendesk Ticket,Billing & Invoicing,-0.72,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-10 02:57:26,Intercom Chat,Billing & Invoicing,-0.02,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-10 11:45:30,Zendesk Ticket,Integrations & APIs,-0.04,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-10 13:28:01,Zendesk Ticket,Analytics Dashboard,0.35,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-11 00:25:40,Zendesk Ticket,Integrations & APIs,0.05,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-11 02:26:17,Gong Call,Integrations & APIs,0.27,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-11 03:28:33,Intercom Chat,Integrations & APIs,-0.47,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-11 07:18:11,Zendesk Ticket,Analytics Dashboard,0.4,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-11 11:24:47,Intercom Chat,Integrations & APIs,0.15,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-11 14:11:35,Zendesk Ticket,Authentication & Login,0.54,General feedback regarding Authentication & Login.,UX is slightly confusing.,It took me a while to figure out how the Authentication & Login works.
2026-03-11 16:02:34,Intercom Chat,Billing & Invoicing,-0.1,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-11 22:49:21,Gong Call,Analytics Dashboard,0.19,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-12 00:17:52,Gong Call,Analytics Dashboard,0.68,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-12 01:19:52,Gong Call,Core UI & Navigation,0.05,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-12 07:21:09,Zendesk Ticket,Authentication & Login,0.34,General feedback regarding Authentication & Login.,UX is slightly confusing.,It took me a while to figure out how the Authentication & Login works.
2026-03-12 12:36:18,Zendesk Ticket,Billing & Invoicing,-0.15,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-12 17:23:14,Zendesk Ticket,Integrations & APIs,-0.39,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-12 20:58:09,Zendesk Ticket,Billing & Invoicing,-0.71,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-12 23:22:31,Gong Call,Analytics Dashboard,0.77,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-13 02:20:44,Intercom Chat,Integrations & APIs,0.12,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-13 12:46:41,Zendesk Ticket,Integrations & APIs,0.29,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-13 19:10:20,Intercom Chat,Billing & Invoicing,0.13,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-14 00:27:45,Zendesk Ticket,Billing & Invoicing,-0.1,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-14 04:21:02,Gong Call,Core UI & Navigation,-0.39,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-15 00:17:26,Gong Call,Integrations & APIs,0.47,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-15 00:38:40,Gong Call,Analytics Dashboard,0.11,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-15 07:44:03,Zendesk Ticket,Integrations & APIs,0.41,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-15 12:07:41,Intercom Chat,Analytics Dashboard,-0.1,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-15 17:06:25,Intercom Chat,Analytics Dashboard,0.73,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-16 01:03:00,Zendesk Ticket,Core UI & Navigation,-0.08,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-16 01:36:43,Gong Call,Billing & Invoicing,-0.35,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-16 13:28:15,Intercom Chat,Integrations & APIs,0.39,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-16 15:27:46,Intercom Chat,Analytics Dashboard,0.28,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-16 16:57:11,Gong Call,Core UI & Navigation,0.23,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-16 21:21:28,Gong Call,Billing & Invoicing,-0.16,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-16 23:56:55,Intercom Chat,Authentication & Login,-0.09,General feedback regarding Authentication & Login.,UX is slightly confusing.,It took me a while to figure out how the Authentication & Login works.
2026-03-17 06:30:42,Gong Call,Analytics Dashboard,-0.13,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-17 16:06:10,Intercom Chat,Analytics Dashboard,0.23,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-17 22:08:17,Gong Call,Billing & Invoicing,-0.79,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-18 07:30:20,Zendesk Ticket,Integrations & APIs,-0.04,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-18 09:39:16,Zendesk Ticket,Billing & Invoicing,-0.48,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-18 09:52:01,Intercom Chat,Integrations & APIs,0.08,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-18 10:30:09,Gong Call,Analytics Dashboard,0.3,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-18 15:44:13,Intercom Chat,Analytics Dashboard,0.34,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-18 20:00:47,Intercom Chat,Billing & Invoicing,-0.66,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-19 03:33:35,Intercom Chat,Analytics Dashboard,0.48,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-19 20:21:04,Zendesk Ticket,Analytics Dashboard,0.14,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-20 02:45:05,Zendesk Ticket,Core UI & Navigation,-0.39,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-20 03:01:52,Gong Call,Core UI & Navigation,0.02,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-20 05:31:02,Gong Call,Authentication & Login,0.63,General feedback regarding Authentication & Login.,UX is slightly confusing.,It took me a while to figure out how the Authentication & Login works.
2026-03-20 11:04:37,Gong Call,Integrations & APIs,-0.28,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-20 12:09:22,Zendesk Ticket,Analytics Dashboard,0.45,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-20 13:04:07,Zendesk Ticket,Analytics Dashboard,-0.2,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-20 22:20:36,Gong Call,Integrations & APIs,0.12,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-21 00:10:13,Gong Call,Billing & Invoicing,-0.58,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-21 05:14:30,Intercom Chat,Core UI & Navigation,-0.36,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-21 10:58:01,Gong Call,Authentication & Login,-0.03,General feedback regarding Authentication & Login.,UX is slightly confusing.,It took me a while to figure out how the Authentication & Login works.
2026-03-22 05:04:30,Intercom Chat,Core UI & Navigation,0.65,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-22 12:16:21,Gong Call,Integrations & APIs,-0.24,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-22 13:56:52,Zendesk Ticket,Billing & Invoicing,-0.64,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-22 16:19:22,Intercom Chat,Core UI & Navigation,0.45,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-23 00:09:44,Gong Call,Integrations & APIs,0.35,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-23 05:05:07,Zendesk Ticket,Integrations & APIs,-0.14,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-23 07:42:46,Gong Call,Analytics Dashboard,0.09,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-23 21:49:47,Gong Call,Analytics Dashboard,0.56,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-23 23:37:23,Zendesk Ticket,Integrations & APIs,-0.48,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-24 05:01:45,Gong Call,Analytics Dashboard,0.17,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-24 15:38:25,Zendesk Ticket,Analytics Dashboard,0.68,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-24 19:45:46,Intercom Chat,Core UI & Navigation,0.58,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-24 23:16:20,Zendesk Ticket,Billing & Invoicing,-0.58,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-25 02:05:17,Zendesk Ticket,Analytics Dashboard,0.4,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-25 04:48:39,Intercom Chat,Analytics Dashboard,0.19,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-25 08:07:32,Gong Call,Core UI & Navigation,0.27,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-25 15:51:49,Intercom Chat,Authentication & Login,0.17,General feedback regarding Authentication & Login.,UX is slightly confusing.,It took me a while to figure out how the Authentication & Login works.
2026-03-25 17:36:38,Gong Call,Billing & Invoicing,-0.0,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-25 20:08:06,Zendesk Ticket,Core UI & Navigation,0.21,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-26 02:15:39,Zendesk Ticket,Integrations & APIs,-0.08,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-26 03:47:32,Intercom Chat,Analytics Dashboard,0.39,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-26 08:53:22,Zendesk Ticket,Integrations & APIs,0.62,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-26 18:24:28,Gong Call,Billing & Invoicing,-0.09,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-27 06:39:04,Gong Call,Core UI & Navigation,-0.2,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-27 07:11:08,Zendesk Ticket,Core UI & Navigation,0.27,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-27 13:28:11,Intercom Chat,Integrations & APIs,0.34,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-27 17:38:16,Zendesk Ticket,Billing & Invoicing,-0.01,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-27 19:15:18,Zendesk Ticket,Integrations & APIs,-0.33,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-28 06:51:38,Gong Call,Core UI & Navigation,0.01,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-28 12:09:17,Intercom Chat,Analytics Dashboard,0.25,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-28 14:13:25,Zendesk Ticket,Analytics Dashboard,0.74,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-28 23:33:38,Intercom Chat,Integrations & APIs,-0.18,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-29 02:16:06,Zendesk Ticket,Integrations & APIs,0.63,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-29 03:49:48,Zendesk Ticket,Authentication & Login,0.13,General feedback regarding Authentication & Login.,UX is slightly confusing.,It took me a while to figure out how the Authentication & Login works.
2026-03-29 04:05:55,Zendesk Ticket,Analytics Dashboard,-0.18,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-29 10:59:59,Gong Call,Core UI & Navigation,0.53,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-29 12:33:53,Gong Call,Integrations & APIs,0.33,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-29 14:31:49,Intercom Chat,Core UI & Navigation,-0.33,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-29 19:10:55,Gong Call,Integrations & APIs,-0.38,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-29 21:09:56,Gong Call,Integrations & APIs,0.06,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-30 05:46:13,Intercom Chat,Billing & Invoicing,0.13,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
